age,gender,raceethnicity,month,armed,pop,share_Caucasian,income,urate,age_group,pop_group,income_bracket,SC_category
16,Male,African American,February,No,3779,60.5,28375,0.097686375,10 - 19,3000 - 4000,28000 - 29000,Half
27,Male,Caucasian,April,No,2769,53.8,14678,0.065723794,20 - 29,2000 - 3000,14000 - 15000,Half
26,Male,Caucasian,March,No,4079,73.8,25286,0.166293142,20 - 29,4000 - 5000,25000 - 26000,High
25,Male,Hispanic/Latino,March,Firearm,4343,1.2,17194,0.124827269,20 - 29,4000 - 5000,17000 - 18000,Low
29,Male,Caucasian,March,No,6809,92.5,33954,0.063549832,20 - 29,6000 - 7000,33000 - 34000,Very High
29,Male,Caucasian,March,No,4682,7.0,15523,0.073651452,20 - 29,4000 - 5000,15000 - 16000,Low
22,Male,Hispanic/Latino,March,Firearm,5027,50.8,25949,0.131461131,20 - 29,5000 - 6000,25000 - 26000,Half
35,Male,Hispanic/Latino,March,Non-lethal firearm,5238,8.6,25043,0.094346979,30 - 39,5000 - 6000,25000 - 26000,Low
44,Male,Caucasian,January,Firearm,4832,14.6,16778,0.140832976,40 - 49,4000 - 5000,16000 - 17000,Low
31,Male,Caucasian,February,Other,3795,63.6,22005,0.174167417,30 - 39,3000 - 4000,22000 - 23000,Half
76,Male,Caucasian,April,Knife,2786,51.4,26916,0.041085271,70 - 79,2000 - 3000,26000 - 27000,Half
40,Male,Caucasian,May,No,9429,67.3,51186,0.057580779,40 - 49,9000 - 10000,51000 - 52000,High
31,Male,Caucasian,February,Firearm,3413,83.7,25563,0.054470101,30 - 39,3000 - 4000,25000 - 26000,Very High
23,Male,Caucasian,April,Non-lethal firearm,5573,64.0,25998,0.067321178,20 - 29,5000 - 6000,25000 - 26000,Half
39,Male,Hispanic/Latino,May,Firearm,6315,37.5,20027,0.088225858,30 - 39,6000 - 7000,20000 - 21000,Medium
25,Female,African American,April,Vehicle,1997,30.5,23205,0.229482072,20 - 29,1000 - 2000,23000 - 24000,Medium
54,Male,Hispanic/Latino,May,Firearm,3651,52.2,29881,0.011916111,50 - 59,3000 - 4000,29000 - 30000,Half
24,Female,Caucasian,March,Firearm,5286,44.8,41676,0.040850588,20 - 29,5000 - 6000,41000 - 42000,Half
57,Male,African American,January,No,5740,31.3,37455,0.063268366,50 - 59,5000 - 6000,37000 - 38000,Medium
21,Male,Hispanic/Latino,February,Vehicle,4303,28.3,27384,0.115890508,20 - 29,4000 - 5000,27000 - 28000,Medium
42,Male,African American,January,No,5213,92.3,23342,0.035221496,40 - 49,5000 - 6000,23000 - 24000,Very High
21,Male,Hispanic/Latino,February,Other,4149,40.3,22719,0.178185745,20 - 29,4000 - 5000,22000 - 23000,Medium
36,Male,Caucasian,March,Firearm,6460,17.8,18376,0.262976968,30 - 39,6000 - 7000,18000 - 19000,Low
26,Male,Caucasian,April,Firearm,3348,77.7,17695,0.011335013,20 - 29,3000 - 4000,17000 - 18000,High
49,Male,Caucasian,March,Firearm,5824,78.1,21610,0.131158917,40 - 49,5000 - 6000,21000 - 22000,High
54,Male,Caucasian,January,Firearm,4521,94.0,32921,0.087385483,50 - 59,4000 - 5000,32000 - 33000,Very High
26,Male,Caucasian,April,Firearm,3202,7.7,22441,0.098980204,20 - 29,3000 - 4000,22000 - 23000,Low
48,Male,African American,March,Firearm,6172,86.2,23926,0.176148796,40 - 49,6000 - 7000,23000 - 24000,Very High
33,Male,Hispanic/Latino,January,Firearm,4160,6.0,13231,0.14461316,30 - 39,4000 - 5000,13000 - 14000,Low
21,Male,Hispanic/Latino,April,Knife,7886,56.6,19599,0.17323741,20 - 29,7000 - 8000,19000 - 20000,Half
41,Male,African American,March,Firearm,4924,1.6,14995,0.22039801,40 - 49,4000 - 5000,14000 - 15000,Low
